Paper Title,Authors,Year,Journal/Conference,DOI/URL,Abstract,Summary - In our words,Objective,Research Questions,Motivation,Methodology / Approach Used,Algorithm/Model,Feature Engineering,Steps Followed,Dataset Used,Dataset Source Links,Dataset Size,Preprocessing Steps,Training & Testing Setup,Hardware/Software Used,Performance Metrics,Major Contributions / Results / Findings,Novelty of Approach,Strengths,Weaknesses,Comparison with Previous Work,Identified Gaps,Dataset Limitations,Scalability Issues,Proposed Improvements,Possible Extensions,Citations Count,Application to Privacy/Legal NLP,Funding Source,Our observations/Notes,Direct URL,Citation,Origin
A semantic approach to understanding GDPR fines: From text to compliance insights,"Albina Orlando, Mario Santoro",2025,Computer Law & Security Review,https://doi.org/10.1016/j.clsr.2025.106187,"This study introduces an explainable Artificial Intelligence (XAI) framework that couples legal-domain NLP
with Structural Topic Modeling (STM) and WordNet semantic graphs to rigorously analyze over 1,900 GDPR
enforcement decision summaries from a public dataset. Our methodology focuses on demonstrating the
pipeline’s validity respect to manual analyses by inspecting the results of four well-know research questions:
(1) cross-country fine distribution disparities (automated metadata extraction); (2) the violation severity–fine
amount relationship (keyness and semantic analysis); (3) structural text patterns (network analysis and STM);
and (4) prevalent enforcement triggers (topic prevalence modeling) The pipeline’s validity is underscored by its
ability to replicate key findings from previous manual analyses while enabling a more nuanced exploration of
GDPR enforcement trends. Our results confirm significant disparities in enforcement across EU member states
and reveal that monetary penalties do not consistently correlate with violation severity. Specifically, serious
infringements, particularly those involving video surveillance, frequently result in low-value fines, especially
when committed by individuals or smaller entities. This highlights that a substantial proportion of severe
violations are attributed to smaller actors. Methodologically, the framework’s ability to quickly replicate such
well-known patterns, alongside its transparency and reproducibility, establishes its potential as a scalable tool
for transparent and explainable GDPR enforcement analytics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S2212473X25000598,"Orlando, A., & Santoro, M. (2025). A semantic approach to understanding GDPR fines: From text to compliance insights. Computer Law & Security Review, 59, 106187. https://doi.org/10.1016/j.clsr.2025.106187",Recasens
Predicting the Amount of GDPR Fines,"Jukka Ruohonen, Kalle Hjerppe",2020,"Proceedings of the First International Workshop CAiSE for Legal Documents (COUrT 2020), CEUR-WS, pp. 3-14",http://ceur-ws.org/Vol-2690/COUrT-paper1.pdf,Abstract. The General Data Protection Regulation (GDPR) was en-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ceur-ws.org/Vol-2690/COUrT-paper1.pdf,"Ruohonen, J., & Hjerppe, K. (2020). Predicting the Amount of GDPR Fines. Proceedings of the First International Workshop CAiSE for Legal Documents (COUrT 2020), CEUR-WS, pp. 3-14.",Recasens
"A Knowledge-Graph Audit of Privacy Policy Compliance and Disclosure Obfuscation Across the Technology, Healthcare, and Financial Sectors","Vijayalakshmi Ramasamy, Gokila Dorai, Luke Blevins",2025,Social Network Analysis and Mining (Under Review),N/A - unpublished,"forced in 2018. After this enforcement, many fines have already been",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A - unpublished,"Ramasamy, V., Dorai, G., & Blevins, L. (2025). A Knowledge-Graph Audit of Privacy Policy Compliance and Disclosure Obfuscation Across the Technology, Healthcare, and Financial Sectors. Under review, Social Network Analysis and Mining.",Recasens
LEGAL-BERT: The Muppets Straight Out of Law School,"Ilias Chalkidis, Manos Fergadiotis, Prodromos Malakasiotis, Nikolaos Aletras, Ion Androutsopoulos",2020,Findings of the Association for Computational Linguistics: EMNLP 2020,https://doi.org/10.18653/v1/2020.findings-emnlp.261,imposed by national data protection authorities in the European Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://aclanthology.org/2020.findings-emnlp.261,"Chalkidis, I., Fergadiotis, M., Malakasiotis, P., Aletras, N., & Androutsopoulos, I. (2020). LEGAL-BERT: The Muppets Straight Out of Law School. Findings of EMNLP 2020, pp. 2898-2904. https://doi.org/10.18653/v1/2020.findings-emnlp.261",Recasens
CLAUDETTE: an Automated Detector of Potentially Unfair Clauses in Online Terms of Service,"Marco Lippi, Przemyslaw Palka, Giuseppe Contissa, Francesca Lagioia, Hans-Wolfgang Micklitz, Giovanni Sartor, Paolo Torroni",2019,Artificial Intelligence and Law,https://doi.org/10.1007/s10506-019-09243-2,(EU). This paper examines the individual GDPR articles referenced in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://link.springer.com/article/10.1007/s10506-019-09243-2,"Lippi, M., Palka, P., Contissa, G., Lagioia, F., Micklitz, H.-W., Sartor, G., & Torroni, P. (2019). CLAUDETTE: an Automated Detector of Potentially Unfair Clauses in Online Terms of Service. Artificial Intelligence and Law, 27(2), 117-139. https://doi.org/10.1007/s10506-019-09243-2",Recasens
MAPS: Scaling Privacy Compliance Analysis to a Million Apps,"Sebastian Zimmeck, Peter Story, Daniel Smullen, Abhilasha Ravichander, Ziqi Wang, Joel Reidenberg, N. Cameron Russell, Norman Sadeh",2019,Proceedings on Privacy Enhancing Technologies (PETS) 2019(3):66-86,https://doi.org/10.2478/popets-2019-0037,"the enforcement decisions, as well as predicts the amount of enforcement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://petsymposium.org/2019/files/papers/issue3/popets-2019-0037.pdf,"Zimmeck, S., Story, P., Smullen, D., Ravichander, A., Wang, Z., Reidenberg, J., Russell, N. C., & Sadeh, N. (2019). MAPS: Scaling Privacy Compliance Analysis to a Million Apps. Proceedings on Privacy Enhancing Technologies, 2019(3), 66-86. https://doi.org/10.2478/popets-2019-0037",Recasens
PoliGraph: Automated Privacy Policy Analysis using Knowledge Graphs,"Hao Cui, Rahmadi Trimananda, Athina Markopoulou, Scott Jordan",2023,32nd USENIX Security Symposium,https://www.usenix.org/conference/usenixsecurity23/presentation/cui,fines with available meta-data and text mining features extracted from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usenix.org/conference/usenixsecurity23/presentation/cui,"Cui, H., Trimananda, R., Markopoulou, A., & Jordan, S. (2023). PoliGraph: Automated Privacy Policy Analysis using Knowledge Graphs. 32nd USENIX Security Symposium, August 9-11, 2023, Anaheim, CA.",Recasens
,,,,,"the enforcement decision documents. According to the results, articles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"related to the general principles, lawfulness, and information security",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,have been the most frequently referenced ones. Although the amount of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
